step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
58,-0.065399,0.125,0.0013516,3.0843,-0.064047,206.88,0.0012228,0.0012851,-1.7874e-08,1127.3,0.44531,-0.065399,994.35,-9.4912e-07,0.0,-8.095e-12,0.0,0.072291,44.74,1234.0,-0.0013516,-24.43,1.0,0.0,0.99987,0.0,0.33728,
59,-0.083198,0.085938,0.0015149,3.2027,-0.081683,192.44,0.0014134,0.0014467,7.5721e-09,1204.7,0.34375,-0.083198,1176.4,-1.0367e-05,0.0,-6.4404e-12,0.0,0.094202,44.146,1219.5,-0.0015149,-24.648,1.0,0.0,0.9999,0.0,0.30928,
60,-0.09102,0.125,0.0018763,3.075,-0.089144,183.19,0.0014365,0.0014863,8.1666e-09,1117.4,0.32812,-0.09102,1047.3,-7.9291e-05,0.0,3.9876e-12,0.0,0.10227,43.45,1151.6,-0.0018763,-24.313,1.0,0.0,0.99956,0.0,0.45578,
61,-0.072834,0.125,0.00098098,3.0615,-0.071853,171.81,0.0013554,0.0014052,2.0917e-08,1129.3,0.35938,-0.072834,1068.5,0.00027284,0.0,1.9454e-12,0.0,0.081798,44.41,1163.3,-0.00098098,-24.593,1.0,0.0,1.0004,0.0,0.39516,
62,-0.064123,0.085938,0.0015167,3.1239,-0.062607,175.0,0.0012879,0.0013508,5.2214e-08,1060.8,0.41406,-0.064123,919.72,-7.698e-06,0.0,-3.154e-12,0.0,0.071026,45.081,1160.6,-0.0015167,-24.705,1.0,0.0,0.99977,0.0,0.36283,
63,-0.060896,0.125,0.0012615,3.0399,-0.059635,169.5,0.0011708,0.0012126,1.4093e-08,1083.1,0.39062,-0.060896,953.6,3.8865e-05,0.0,-2.0389e-12,0.0,0.06951,45.433,1166.1,-0.0012615,-24.726,1.0,0.0,0.99991,0.0,0.15574,
64,-0.065637,0.125,0.0013882,3.112,-0.064248,185.06,0.0010715,0.0011117,-4.9994e-09,1152.9,0.22656,-0.065637,945.03,-4.0649e-05,0.0,-4.8112e-12,0.0,0.073128,45.067,1213.8,-0.0013882,-24.83,1.0,0.0,0.99968,0.0,0.41463,
65,-0.061496,0.125,0.0011969,3.0752,-0.060299,193.19,0.0012104,0.0014502,-1.1151e-08,1139.3,0.40625,-0.061496,1039.7,8.1232e-06,0.0,-1.9688e-12,0.0,0.068369,45.517,1207.4,-0.0011969,-24.812,1.0,0.0,1.0,0.0,0.38554,
66,-0.077823,0.10938,0.0012903,3.1993,-0.076533,211.75,0.0013293,0.001408,1.3291e-08,1216.3,0.23438,-0.077823,1155.0,7.3359e-05,0.0,1.8543e-12,0.0,0.086339,44.468,1235.0,-0.0012903,-24.711,1.0,0.0,1.0,0.0,0.59259,
67,-0.063565,0.10938,0.0014285,3.0657,-0.062137,195.38,0.0013461,0.0014469,-3.6146e-09,1061.1,0.625,-0.063565,992.64,-5.9677e-05,0.0,4.3031e-12,0.0,0.069959,45.22,1175.2,-0.0014285,-24.225,1.0,0.0,0.99992,0.0,0.37209,
68,-0.067414,0.125,0.0014056,3.1152,-0.066008,189.81,0.0013078,0.0013513,8.2142e-09,1147.6,0.35938,-0.067414,1001.9,0.00011775,0.0,4.8616e-13,0.0,0.076106,44.97,1229.4,-0.0014056,-24.62,1.0,0.0,0.9999,0.0,0.39024,
69,-0.065979,0.125,0.0014507,3.1013,-0.064543,223.31,0.0012637,0.0013182,-1.4062e-08,1157.1,0.46875,-0.065976,1034.9,-0.00014398,0.0,-3.9895e-12,0.0,0.074593,44.605,1264.9,-0.0014507,-24.383,0.99999,0.0,0.99981,0.0,0.31405,
70,-0.070095,0.125,0.0013315,3.1202,-0.068763,193.56,0.0014638,0.0015479,-2.6796e-08,1163.4,0.29688,-0.070095,1060.0,-8.9892e-05,0.0,7.2023e-12,0.0,0.078353,44.564,1207.0,-0.0013315,-24.722,1.0,0.0,1.0001,0.0,0.32857,
71,-0.076112,0.125,0.0014933,3.0871,-0.074619,195.31,0.0013581,0.0014223,-3.998e-09,1142.9,0.33594,-0.076112,961.23,0.00017114,0.0,-9.8286e-12,0.0,0.086657,44.263,1234.8,-0.0014933,-24.427,1.0,0.0,0.99986,0.0,0.275,
72,-0.062875,0.125,0.0012382,3.058,-0.061637,185.31,0.0012064,0.0012467,1.8138e-08,1105.4,0.28125,-0.062875,973.22,-0.00019486,0.0,1.5183e-12,0.0,0.070019,45.25,1157.2,-0.0012382,-24.872,1.0,0.0,0.99997,0.0,0.35965,
73,-0.067848,0.10156,0.0012509,3.0815,-0.066597,187.25,0.0012829,0.0013352,-3.5224e-08,1134.9,0.39844,-0.067848,1042.5,-8.7074e-05,0.0,7.8624e-12,0.0,0.075185,44.856,1196.0,-0.0012509,-24.445,1.0,0.0,1.0,0.0,0.42568,
74,-0.071828,0.125,0.0012513,3.2213,-0.070576,210.12,0.001348,0.001459,1.7168e-08,1217.0,0.35156,-0.071828,1144.3,-0.00020358,0.0,0.0,0.0,0.081338,45.021,1256.4,-0.0012513,-24.47,1.0,0.0,1.0001,0.0,0.53659,
75,-0.067017,0.085938,0.0014101,3.1354,-0.065607,227.0,0.0013552,0.0014588,2.1756e-08,1169.5,0.53906,-0.067017,1096.4,0.00014942,0.0,-1.9764e-12,0.0,0.075341,44.353,1254.9,-0.0014101,-24.274,1.0,0.0,0.99995,0.0,0.48993,
76,-0.069601,0.125,0.0014643,3.138,-0.068137,203.62,0.0013356,0.0015809,-6.1873e-09,1167.0,0.40625,-0.069601,1039.8,-2.6679e-05,0.0,-1.9335e-12,0.0,0.076802,45.16,1253.9,-0.0014643,-24.707,1.0,0.0,0.99987,0.0,0.46364,
77,-0.065961,0.11719,0.0017081,3.0394,-0.064253,205.06,0.0012656,0.0013312,0.0,1083.3,0.54688,-0.065961,928.71,-0.00022158,0.0,0.0,0.0,0.075127,44.62,1269.8,-0.0017081,-24.449,1.0,0.0,0.99956,0.0,0.3252,
78,-0.080477,0.125,0.0013878,3.126,-0.079089,221.19,0.0013935,0.0014267,8.4266e-09,1183.2,0.34375,-0.080477,1019.1,-5.2929e-05,0.0,9.6813e-13,0.0,0.090321,43.645,1269.1,-0.0013878,-24.242,1.0,0.0,1.0,0.0,0.27068,
