step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
60,-0.097969,0.125,0.0017807,3.0856,-0.096188,183.19,0.0016787,0.00274,-3.9758e-09,1142.7,0.28906,-0.097969,1078.3,0.00012737,0.0,1.9413e-12,0.0,0.10943,43.263,1168.8,-0.0017807,-24.251,1.0,0.0,0.9999,0.0,0.408,
61,-0.074354,0.125,0.0012139,3.1111,-0.07314,171.81,0.0012567,0.0013098,7.3071e-09,1142.5,0.35156,-0.074354,1122.6,0.00020849,0.0,3.8378e-12,0.0,0.083669,44.323,1153.3,-0.0012139,-24.616,1.0,0.0,1.0,0.0,0.45865,
62,-0.064869,0.10156,0.0015113,3.1099,-0.063357,175.0,0.0013246,0.0030215,-1.5166e-08,1107.4,0.40625,-0.064869,1001.3,0.00023637,0.0,-4.9941e-12,0.0,0.072741,44.869,1180.0,-0.0015113,-24.837,1.0,0.0,0.99981,0.0,0.22881,
63,-0.063138,0.09375,0.0012811,3.0726,-0.061857,169.5,0.0010835,0.0011191,-6.6567e-09,1100.7,0.28125,-0.063138,864.61,-6.073e-05,0.0,0.0,0.0,0.070221,45.096,1193.1,-0.0012811,-24.79,1.0,0.0,0.9998,0.0,0.1938,
64,-0.067654,0.125,0.0008326,3.1284,-0.066822,185.06,0.0010607,0.0010725,3.7363e-09,1158.2,0.22656,-0.067654,962.41,-8.6226e-06,0.0,-3.8281e-12,0.0,0.076816,44.77,1215.5,-0.0008326,-24.786,1.0,0.0,1.0002,0.0,0.31034,
65,-0.065503,0.125,0.0012849,3.1412,-0.064218,193.19,0.0011222,0.0011638,-8.3088e-09,1154.5,0.33594,-0.065503,1059.1,-4.031e-05,0.0,2.9065e-12,0.0,0.07202,45.134,1202.7,-0.0012849,-24.858,1.0,0.0,0.99984,0.0,0.35976,
66,-0.078952,0.10938,0.0011687,3.2172,-0.077783,211.75,0.0012617,0.0013214,-3.0274e-08,1223.7,0.19531,-0.078952,1159.3,-0.00015935,0.0,0.0,0.0,0.088425,44.186,1239.4,-0.0011687,-24.702,1.0,0.0,1.0001,0.0,0.52294,
67,-0.06573,0.10938,0.0013707,3.1607,-0.064359,195.38,0.0012296,0.0012875,5.8404e-09,1073.1,0.57812,-0.06573,963.97,-8.108e-06,0.0,2.1222e-12,0.0,0.074561,44.915,1222.5,-0.0013707,-24.22,1.0,0.0,0.99986,0.0,0.33588,
68,-0.068116,0.125,0.0012631,3.1474,-0.066853,189.81,0.0011279,0.001169,-3.4415e-09,1159.7,0.32031,-0.068116,1012.4,-7.8465e-05,0.0,1.9205e-12,0.0,0.077169,44.635,1229.1,-0.0012631,-24.749,1.0,0.0,0.99986,0.0,0.37069,
69,-0.070865,0.125,0.0012518,3.15,-0.069627,223.31,0.0011776,0.0012116,-3.5756e-09,1171.9,0.4375,-0.070861,1039.1,-3.2407e-05,0.0,-8.8358e-12,0.0,0.080397,44.18,1275.3,-0.0012518,-24.381,0.99999,0.0,0.99993,0.0,0.35294,
70,-0.077137,0.125,0.0017292,3.1559,-0.075408,193.56,0.0013361,0.0014773,-1.7968e-08,1175.5,0.30469,-0.077137,1068.0,9.3179e-06,0.0,-1.8969e-12,0.0,0.086376,44.154,1222.6,-0.0017292,-24.683,1.0,0.0,0.99961,0.0,0.26515,
71,-0.080134,0.125,0.0014283,3.1444,-0.078706,195.31,0.0013574,0.0014204,6.0283e-09,1144.5,0.30469,-0.080134,949.28,6.7557e-06,0.0,0.0,0.0,0.090194,43.998,1230.1,-0.0014283,-24.377,1.0,0.0,0.99993,0.0,0.21622,
72,-0.065771,0.070312,0.0013085,3.1704,-0.064463,185.31,0.001101,0.0011379,7.106e-09,1124.8,0.27344,-0.065771,1013.0,-8.8583e-05,0.0,3.4697e-12,0.0,0.072846,44.736,1166.8,-0.0013085,-24.972,1.0,0.0,0.99979,0.0,0.376,
73,-0.075809,0.10156,0.0014622,3.1409,-0.074347,187.25,0.0012529,0.0013254,5.9461e-09,1169.6,0.375,-0.075809,1091.9,-4.7232e-05,0.0,1.8961e-12,0.0,0.084764,44.254,1216.2,-0.0014622,-24.543,1.0,0.0,0.99979,0.0,0.37857,
